object,distance_cm,angle_deg,band_center_hz,n_trials,snr_gain_db_mean,snr_gain_db_median,snr_gain_db_std,snr_db_bandpassed_mean,snr_db_detrended_only_mean
Glas,125,-10.0,40000.0,100,6.033403399546518,6.036725099644313,0.034894067749716935,17.542155421058272,11.508752021511752
Glas,125,-10.0,50000.0,100,19.026064380682463,19.025519867071175,0.03410399686087532,30.534816402194213,11.508752021511752
Glas,125,-10.0,60000.0,100,11.431461988418416,11.420239649575423,0.08473425137670944,22.94021400993017,11.508752021511752
Glas,125,-5.0,40000.0,100,5.779861080864314,5.783603105488064,0.057350031264475416,14.50356008849089,8.723699007626575
Glas,125,-5.0,50000.0,100,19.062273897339015,19.06034083715304,0.06486641271207946,27.78597290496559,8.723699007626575
Glas,125,-5.0,60000.0,100,12.024008146790097,12.021900795372048,0.10180166106166039,20.74770715441667,8.723699007626575
Glas,125,0.0,40000.0,100,5.762370688571601,5.759560621539848,0.0663482298866719,14.432721402597416,8.670350714025812
Glas,125,0.0,50000.0,100,19.403735878483833,19.403673459079997,0.06614151430789078,28.074086592509644,8.670350714025812
Glas,125,0.0,60000.0,100,12.561853182963686,12.588189732852227,0.14536173753609155,21.2322038969895,8.670350714025812
Glas,125,5.0,40000.0,100,5.841860415399347,5.849004979750715,0.1150888435637168,11.9906506636706,6.1487902482712515
Glas,125,5.0,50000.0,100,19.329827916894562,19.333761798700834,0.11371832986673519,25.478618165165813,6.1487902482712515
Glas,125,5.0,60000.0,100,12.307068165582399,12.306949399931792,0.20501374826410365,18.45585841385365,6.1487902482712515
Glas,125,10.0,40000.0,100,4.552420375111795,4.555263569801644,0.1009092858294228,11.397702746970634,6.845282371858838
Glas,125,10.0,50000.0,100,19.569619771967872,19.56665972425478,0.0822666296056644,26.414902143826712,6.845282371858838
Glas,125,10.0,60000.0,100,14.738249993163372,14.725836047299218,0.12062150122988459,21.583532365022208,6.845282371858838
