category,file,relative_path,distance_cm,angle_deg,trial,n_trials,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Dose,<mean_over_trials>,<mean_over_trials>,50.0,5.0,-1,100,True,0.04357787137382908,0.4980973490458728,-0.2061285950813898,0.45722160723859284,0.5,0.5015382296855043,-24.267215432830852,25.3029930359724,0.1538229685504322,-29.267215432830852,45.0,6,6.137795652047047e-08,2.772878547349811e-08,1.2566497865979487e-08,7.394445438644995e-08
Dose,<mean_over_trials>,<mean_over_trials>,50.0,10.0,-1,100,True,0.08682408883346517,0.492403876506104,-0.13144551061464962,0.4789247250809911,0.5,0.4966354946584556,-15.347464017412682,21.868540318544717,-0.33645053415444215,-25.347464017412676,45.0,6,6.045450940331019e-08,1.6623797253875334e-08,4.606445407255973e-09,6.506095481056616e-08
Dose,<mean_over_trials>,<mean_over_trials>,75.0,-10.0,-1,100,True,-0.13023613325019776,0.738605814759156,0.11006563631594982,0.7352150431267993,0.75,0.7434081005326592,8.514255021601919,24.032569107127244,-0.6591899467340845,18.51425502160191,45.0,6,1.3561828700927435e-07,-2.033445061620093e-08,3.0823941705114643e-09,1.3870068117978581e-07
Dose,<mean_over_trials>,<mean_over_trials>,75.0,-5.0,-1,100,True,-0.06536680706074363,0.7471460235688092,-0.09537914910608793,0.7426642543457056,0.75,0.7487638992146085,-7.3183423545209365,3.0345130258674122,-0.12361007853914918,-2.3183423545209507,45.0,3,1.3760352800625275e-07,1.7699534187519777e-08,2.3099140703816583e-09,1.399134420766344e-07
Dose,<mean_over_trials>,<mean_over_trials>,75.0,0.0,-1,100,True,0.0,0.75,-0.1825302902205972,0.7311768441718856,0.75,0.7536158731749042,-14.016777240638003,18.349827803918192,0.3615873174904194,-14.016777240637992,45.0,6,1.3919535052332673e-07,3.4803878114654114e-08,8.737009594109692e-09,1.4793236011743642e-07
Dose,<mean_over_trials>,<mean_over_trials>,75.0,5.0,-1,100,True,0.06536680706074363,0.7471460235688092,-0.0388896403794033,0.7488523331555289,0.75,0.7498614678734457,-2.9728322388178317,10.427040963401769,-0.01385321265543471,-7.97283223881783,45.0,6,1.3806628604229478e-07,7.1810773573487004e-09,4.063232734378371e-10,1.3847260931573263e-07
Dose,<mean_over_trials>,<mean_over_trials>,75.0,10.0,-1,100,True,0.13023613325019776,0.738605814759156,0.003216418393359472,0.7494847597436802,0.75,0.7494916613514278,0.245883675903782,12.748474185677598,-0.05083386485722485,-9.75411632409623,45.0,5,1.3794177888478867e-07,-5.928825543964559e-10,3.528278033192364e-11,1.3797706166512058e-07
Dose,<mean_over_trials>,<mean_over_trials>,100.0,-10.0,-1,100,True,-0.17364817766693033,0.984807753012208,-0.0934085991827842,0.9953799814206101,1.0,0.9997532064535648,-5.361058898534495,8.093307092179854,-0.02467935464351978,4.638941101465491,45.0,4,2.453037410072496e-07,2.3049367669863868e-08,2.1987936486739215e-09,2.4750253465592357e-07
Dose,<mean_over_trials>,<mean_over_trials>,100.0,-5.0,-1,100,True,-0.08715574274765817,0.9961946980917455,-0.01442445122570767,1.0001152601414312,1.0,1.0002192751396692,-0.826307637963761,7.283688333005733,0.02192751396692394,4.173692362036235,45.0,5,2.455923305075806e-07,3.546644521079774e-09,8.395169752492831e-11,2.456762822051055e-07
Dose,<mean_over_trials>,<mean_over_trials>,100.0,0.0,-1,100,True,0.0,1.0,0.19672929108851753,0.976247767111325,1.0,0.9958725404197258,11.393413367315835,19.815797369621166,-0.4127459580274162,11.393413367315844,-45.0,5,2.4318532187740026e-07,-4.907000408239891e-08,9.935419039474378e-09,2.5312074091687464e-07
Dose,<mean_over_trials>,<mean_over_trials>,100.0,5.0,-1,100,True,0.08715574274765817,0.9961946980917455,0.5109331636030112,0.8540090870922006,1.0,0.9951804954406187,30.891071597509434,44.69944635027697,-0.48195045593812935,25.891071597509438,-45.0,6,2.4077283392707413e-07,-1.4427274658937054e-07,8.64937035336893e-08,3.2726653746076345e-07
Dose,<mean_over_trials>,<mean_over_trials>,100.0,10.0,-1,100,True,0.17364817766693033,0.984807753012208,0.0013703206659850698,0.997831272097584,1.0,0.9978322130271253,0.07868418597258318,17.27694187702363,-0.21677869728746746,-9.921315814027423,45.0,5,2.4442339742614604e-07,-3.360952170726485e-10,3.318937256453526e-11,2.444565867987106e-07
